id,title,price,size,location,status,url
1,2 BHK Flat,"₹16.5 Lac
810 sqft",810 sqft,"Dera Bassi, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/2-BHK-810-Sq-ft-Multistorey-Apartment-FOR-Sale-Dera-Bassi-in-Chandigarh&id=4d423437303838313437
2,4 BHK Flat,"₹1.20 Cr
2250 sqft",2250 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423730383832323439
3,3 BHK Flat,"₹1.01 Cr
1638 sqft",1638 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1638-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423731333333373637
4,4 BHK Flat,"₹1.20 Cr
2250 sqft",2250 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423731343630383939
5,3 BHK Flat,"₹1.25 Cr
1900 sqft",1900 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423732333539393033
6,2 BHK Flat,₹25 Lac,N/A,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423639343938393239
7,3 BHK Flat,"₹1.25 Cr
1942 sqft",1942 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1942-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Chandigarh&id=4d423732353438303139
8,3 BHK Flat,"₹1.19 Cr
3000 sqft",3000 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-3000-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423730383537393635
9,2 BHK Flat,"₹16.5 Lac
810 sqft",810 sqft,"Dera Bassi, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/2-BHK-810-Sq-ft-Multistorey-Apartment-FOR-Sale-Dera-Bassi-in-Chandigarh&id=4d423437303838313437
10,4 BHK Flat,"₹1.20 Cr
2250 sqft",2250 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423730383832323439
11,3 BHK Flat,"₹1.01 Cr
1638 sqft",1638 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1638-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423731333333373637
12,4 BHK Flat,"₹1.20 Cr
2250 sqft",2250 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423731343630383939
13,3 BHK Flat,"₹1.25 Cr
1900 sqft",1900 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423732333539393033
14,2 BHK Flat,₹25 Lac,N/A,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423639343938393239
15,3 BHK Flat,"₹1.25 Cr
1942 sqft",1942 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1942-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Chandigarh&id=4d423732353438303139
16,3 BHK Flat,"₹1.19 Cr
3000 sqft",3000 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-3000-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423730383537393635
17,2 BHK Flat,"₹16.5 Lac
810 sqft",810 sqft,"Dera Bassi, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/2-BHK-810-Sq-ft-Multistorey-Apartment-FOR-Sale-Dera-Bassi-in-Chandigarh&id=4d423437303838313437
18,4 BHK Flat,"₹1.20 Cr
2250 sqft",2250 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423730383832323439
19,3 BHK Flat,"₹1.01 Cr
1638 sqft",1638 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1638-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423731333333373637
20,4 BHK Flat,"₹1.20 Cr
2250 sqft",2250 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423731343630383939
21,3 BHK Flat,"₹1.25 Cr
1900 sqft",1900 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423732333539393033
22,2 BHK Flat,₹25 Lac,N/A,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423639343938393239
23,3 BHK Flat,"₹1.25 Cr
1942 sqft",1942 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1942-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Chandigarh&id=4d423732353438303139
24,3 BHK Flat,"₹1.19 Cr
3000 sqft",3000 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-3000-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423730383537393635
25,2 BHK Flat,"₹16.5 Lac
810 sqft",810 sqft,"Dera Bassi, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/2-BHK-810-Sq-ft-Multistorey-Apartment-FOR-Sale-Dera-Bassi-in-Chandigarh&id=4d423437303838313437
26,4 BHK Flat,"₹1.20 Cr
2250 sqft",2250 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423730383832323439
27,3 BHK Flat,"₹1.01 Cr
1638 sqft",1638 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1638-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423731333333373637
28,4 BHK Flat,"₹1.20 Cr
2250 sqft",2250 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423731343630383939
29,3 BHK Flat,"₹1.25 Cr
1900 sqft",1900 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423732333539393033
30,2 BHK Flat,₹25 Lac,N/A,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423639343938393239
31,3 BHK Flat,"₹1.25 Cr
1942 sqft",1942 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1942-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Chandigarh&id=4d423732353438303139
32,3 BHK Flat,"₹1.19 Cr
3000 sqft",3000 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-3000-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423730383537393635
33,3 BHK Flat,"₹1.25 Cr
1900 sqft",1900 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423732333539393033
34,4 BHK Flat,"₹1.20 Cr
2250 sqft",2250 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423730383832323439
35,2 BHK Flat,"₹30 Lac
1130 sqft",1130 sqft,"Dera Bassi, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/2-BHK-1130-Sq-ft-Multistorey-Apartment-FOR-Sale-Dera-Bassi-in-Chandigarh&id=4d423639313935313531
36,3 BHK Flat,"₹1.01 Cr
1638 sqft",1638 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1638-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423731333333373637
37,4 BHK Flat,"₹1.20 Cr
2250 sqft",2250 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423731343630383939
38,3 BHK Flat,"₹1.25 Cr
1942 sqft",1942 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-1942-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Chandigarh&id=4d423732353438303139
39,3 BHK Flat,"₹1.19 Cr
3000 sqft",3000 sqft,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/3-BHK-3000-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423730383537393635
40,2 BHK Flat,₹25 Lac,N/A,"Zirakpur, Chandigarh",Ready to Move,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Sale-Zirakpur-in-Chandigarh&id=4d423639343938393239
